"utilization_type","state","ndc","labeler_code","product_code","package_size","year","quarter","suppression_used","product_name","units_reimbursed","number_of_prescriptions","total_amount_reimbursed","medicaid_amount_reimbursed","non_medicaid_amount_reimbursed"
"FFSU","XX","00002614527",2,6145,"27",2023,4,FALSE,"BAQSIMI   ",12813,6156,3521801.17,3321387.25,200413.92
"MCOU","XX","00002614527",2,6145,"27",2023,4,FALSE,"BAQSIMI   ",19445,9555,5224145.73,4921941.95,302203.78
"FFSU","XX","00002803101",2,8031,"1",2023,4,FALSE,"GLUCAGON  ",493,417,132925.79,126810.68,6115.11
"MCOU","XX","00002803101",2,8031,"1",2023,4,FALSE,"GLUCAGON  ",427.5,371,108523.66,105812.05,2711.61
"FFSU","XX","00169191201",169,1912,"1",2023,4,FALSE,"ZEGALOGUE ",97.8,115,49683.61,49235.9,447.71
"MCOU","XX","00169191201",169,1912,"1",2023,4,FALSE,"ZEGALOGUE ",80.4,84,40198.97,39632.81,566.16
"FFSU","XX","00169191202",169,1912,"2",2023,4,FALSE,"ZEGALOGUE ",73.2,64,37146.94,35685.04,1461.9
"MCOU","XX","00169191202",169,1912,"2",2023,4,FALSE,"ZEGALOGUE ",35.4,31,17920.85,17914.85,6
"FFSU","XX","00169706515",169,7065,"15",2023,4,FALSE,"GLUCAGEN  ",1736,1377,512174.49,507523.68,4650.81
"MCOU","XX","00169706515",169,7065,"15",2023,4,FALSE,"GLUCAGEN  ",1806,1365,515782.64,507990.2,7792.44
"FFSU","XX","00548585000",548,5850,"0",2023,4,FALSE,"GLUCAGON  ",4518.001,3368,1036616.72,973269.88,63346.84
"MCOU","XX","00548585000",548,5850,"0",2023,4,FALSE,"GLUCAGON  ",10387.7,8110,2230169.65,2157296.3,72873.35
"FFSU","XX","00597005345",597,53,"45",2023,4,FALSE,"GlucaGen 1",129,117,30955.21,24024.3,6930.91
"MCOU","XX","00597005345",597,53,"45",2023,4,FALSE,"GlucaGen 1",171.5,150,32954.18,30062.7,2891.48
"FFSU","XX","00597026010",597,260,"10",2023,4,FALSE,"GlucaGen D",218.3,205,47278.77,30345.37,16933.4
"MCOU","XX","00597026010",597,260,"10",2023,4,FALSE,"GlucaGen D",559.25,546,130268.35,118696.87,11571.48
"FFSU","XX","63323058282",63323,582,"82",2023,4,FALSE,"Glucagon E",573,506,163267.96,162783.7,484.26
"MCOU","XX","63323058282",63323,582,"82",2023,4,FALSE,"Glucagon E",302,237,88618.58,85864.1,2754.48
"FFSU","XX","63323059303",63323,593,"3",2023,4,FALSE,"Glucagon f",139.5,107,31140.87,26245.26,4895.61
"MCOU","XX","63323059303",63323,593,"3",2023,4,FALSE,"Glucagon f",212,176,62660.47,60954.4,1706.07
"FFSU","XX","63323059403",63323,594,"3",2023,4,FALSE,"Glucagon 1",47,34,14639.32,5516.69,9122.63
"MCOU","XX","63323059403",63323,594,"3",2023,4,FALSE,"Glucagon 1",86,81,22823.22,21042.71,1780.51
"FFSU","XX","63323059603",63323,596,"3",2023,4,FALSE,"          ",17.5,14,3466.19,3379.35,86.84
"MCOU","XX","63323059603",63323,596,"3",2023,4,FALSE,"          ",22,20,2837.93,2505.24,332.69
"MCOU","XX","63323059606",63323,596,"6",2023,4,FALSE,"          ",26,26,7993.33,7819.65,173.68
"FFSU","XX","63323059608",63323,596,"8",2023,4,FALSE,"Glucagon f",13.5,13,1683.52,1595.98,87.54
"FFSU","XX","63323059611",63323,596,"11",2023,4,FALSE,"Glucagon f",19,14,4682.54,3939.79,742.75
"MCOU","XX","63323059611",63323,596,"11",2023,4,FALSE,"Glucagon f",64,60,8539.51,8216.28,323.23
"FFSU","XX","63323059613",63323,596,"13",2023,4,FALSE,"Glucagon f",20,17,4960.67,2988.22,1972.45
"MCOU","XX","63323059613",63323,596,"13",2023,4,FALSE,"Glucagon f",73,64,11776.39,10819.38,957.01
"FFSU","XX","63323059616",63323,596,"16",2023,4,FALSE,"Glucagon f",13,13,2233.02,2233.02,0
"MCOU","XX","63323059616",63323,596,"16",2023,4,FALSE,"Glucagon f",29,18,2609.13,2609.13,0
"FFSU","XX","72065012012",72065,120,"12",2023,4,FALSE,"Gvoke Hypo",183,873,534908.09,495192.98,39715.11
"MCOU","XX","72065012012",72065,120,"12",2023,4,FALSE,"Gvoke Hypo",253.9,1237,755338.37,726689.65,28648.72
"FFSU","XX","72065012111",72065,121,"11",2023,4,FALSE,"Gvoke Hypo",217.6,787,328890.52,318554.67,10335.85
"MCOU","XX","72065012111",72065,121,"11",2023,4,FALSE,"Gvoke Hypo",412.8,1504,618173.79,597484.42,20689.37
"FFSU","XX","72065012112",72065,121,"12",2023,4,FALSE,"Gvoke Hypo",1333.6,3333,1988703.59,1888041.63,100661.96
"MCOU","XX","72065012112",72065,121,"12",2023,4,FALSE,"Gvoke Hypo",1819.4,4618,2742930.7,2619696.14,123234.56
"FFSU","XX","72065013111",72065,131,"11",2023,4,FALSE,"Gvoke PFS ",65,223,97350.7,92463.97,4886.73
"MCOU","XX","72065013111",72065,131,"11",2023,4,FALSE,"Gvoke PFS ",92.2,322,142730.66,135675.06,7055.6
"FFSU","XX","72065013112",72065,131,"12",2023,4,FALSE,"Gvoke PFS ",55.8,144,84051.26,80344.47,3706.79
"MCOU","XX","72065013112",72065,131,"12",2023,4,FALSE,"Gvoke PFS ",65.6,162,98840.38,94980.47,3859.91
"FFSU","XX","72065014011",72065,140,"11",2023,4,FALSE,"GVOKE KIT ",30,112,44340.4,33853.36,10487.04
"MCOU","XX","72065014011",72065,140,"11",2023,4,FALSE,"GVOKE KIT ",45.6,171,69526.09,65663.23,3862.86
"FFSU","XX","80644001201",80644,12,"1",2023,4,FALSE,"ZEGALOGUE ",15.6,20,7999.19,7996.19,3
"FFSU","XX","00002614511",2,6145,"11",2023,3,FALSE,"BAQSIMI   ",11344,6808,3112980.66,2941713.07,171267.59
"MCOU","XX","00002614511",2,6145,"11",2023,3,FALSE,"BAQSIMI   ",17784,11475,4833699.77,4648434.59,185265.18
"FFSU","XX","00002614527",2,6145,"27",2023,3,FALSE,"BAQSIMI   ",14741,7133,4041883.8,3779411.85,262471.95
"MCOU","XX","00002614527",2,6145,"27",2023,3,FALSE,"BAQSIMI   ",24162,11895,6505154.3,6012555.31,492598.99
"FFSU","XX","00002803101",2,8031,"1",2023,3,FALSE,"GLUCAGON  ",799.2,620,212528.3,209884.17,2644.13
"MCOU","XX","00002803101",2,8031,"1",2023,3,FALSE,"GLUCAGON  ",798,669,218762.1,206415.14,12346.96
"FFSU","XX","00169191201",169,1912,"1",2023,3,FALSE,"ZEGALOGUE ",33.6,39,17193.1,17193.1,0
"MCOU","XX","00169191201",169,1912,"1",2023,3,FALSE,"ZEGALOGUE ",18.6,20,9403.4,9403.4,0
"FFSU","XX","00169191202",169,1912,"2",2023,3,FALSE,"ZEGALOGUE ",34.2,30,17378.74,17082.39,296.35
"MCOU","XX","00169191202",169,1912,"2",2023,3,FALSE,"ZEGALOGUE ",30,28,15134.14,15134.14,0
"FFSU","XX","00169706515",169,7065,"15",2023,3,FALSE,"GLUCAGEN  ",1673.001,1309,491061.58,482831.63,8229.95
"MCOU","XX","00169706515",169,7065,"15",2023,3,FALSE,"GLUCAGEN  ",2169.53,1602,670240.2,634696.63,35543.57
"FFSU","XX","00548585000",548,5850,"0",2023,3,FALSE,"GLUCAGON  ",7274.5,5181,1669821.52,1550800.03,119021.49
"MCOU","XX","00548585000",548,5850,"0",2023,3,FALSE,"GLUCAGON  ",13524.5,10467,2917723.01,2788367.4,129355.61
"MCOU","XX","00597005301",597,53,"1",2023,3,FALSE,"          ",12,12,1919.83,1766.81,153.02
"FFSU","XX","00597005345",597,53,"45",2023,3,FALSE,"GlucaGen 1",68,60,19643.48,14073.16,5570.32
"MCOU","XX","00597005345",597,53,"45",2023,3,FALSE,"GlucaGen 1",206,167,47161.71,41202.57,5959.14
"FFSU","XX","00597026010",597,260,"10",2023,3,FALSE,"GlucaGen D",214.3,196,48690.31,29922.39,18767.92
"MCOU","XX","00597026010",597,260,"10",2023,3,FALSE,"GlucaGen D",698.5,671,180630.1,149695.13,30934.97
"FFSU","XX","63323058282",63323,582,"82",2023,3,FALSE,"Glucagon E",479,386,137676.95,133097.29,4579.66
"MCOU","XX","63323058282",63323,582,"82",2023,3,FALSE,"Glucagon E",446,321,121119.77,118304.06,2815.71
"FFSU","XX","63323059303",63323,593,"3",2023,3,FALSE,"Glucagon f",122,105,25247.84,20838.85,4408.99
"MCOU","XX","63323059303",63323,593,"3",2023,3,FALSE,"Glucagon f",248.5,205,58369.91,48149.84,10220.07
"FFSU","XX","63323059403",63323,594,"3",2023,3,FALSE,"Glucagon 1",37,32,5619.59,5492.57,127.02
"MCOU","XX","63323059403",63323,594,"3",2023,3,FALSE,"Glucagon 1",109,95,26700.57,24948.12,1752.45
"FFSU","XX","63323059603",63323,596,"3",2023,3,FALSE,"          ",14.16,14,2471.86,2206.76,265.1
"MCOU","XX","63323059603",63323,596,"3",2023,3,FALSE,"          ",27,26,3861.5,3861.5,0
"FFSU","XX","63323059606",63323,596,"6",2023,3,FALSE,"          ",11.5,12,2376.81,2087.41,289.4
"MCOU","XX","63323059606",63323,596,"6",2023,3,FALSE,"          ",17,16,7751.49,6059.1,1692.39
"MCOU","XX","63323059608",63323,596,"8",2023,3,FALSE,"Glucagon f",27,11,5086.95,2927.27,2159.68
"MCOU","XX","63323059611",63323,596,"11",2023,3,FALSE,"Glucagon f",53,45,9283.56,6818.61,2464.95
"FFSU","XX","63323059613",63323,596,"13",2023,3,FALSE,"Glucagon f",23,21,3719.28,3554.11,165.17
"MCOU","XX","63323059613",63323,596,"13",2023,3,FALSE,"Glucagon f",62,60,10734.56,10167.27,567.29
"FFSU","XX","63323059616",63323,596,"16",2023,3,FALSE,"Glucagon f",16,14,3884.3,2353.36,1530.94
"MCOU","XX","63323059616",63323,596,"16",2023,3,FALSE,"Glucagon f",38.5,35,3600.66,3247.11,353.55
"FFSU","XX","72065012012",72065,120,"12",2023,3,FALSE,"Gvoke Hypo",229.7,1066,685281.94,638932.7,46349.24
"MCOU","XX","72065012012",72065,120,"12",2023,3,FALSE,"Gvoke Hypo",273.7,1353,813978.06,774216.25,39761.81
"FFSU","XX","72065012111",72065,121,"11",2023,3,FALSE,"Gvoke Hypo",233.1,834,351378.13,333971.79,17406.34
"MCOU","XX","72065012111",72065,121,"11",2023,3,FALSE,"Gvoke Hypo",436.8,1612,645530.33,625032.25,20498.08
"FFSU","XX","72065012112",72065,121,"12",2023,3,FALSE,"Gvoke Hypo",1352,3331,2009919.11,1903135.85,106783.26
"MCOU","XX","72065012112",72065,121,"12",2023,3,FALSE,"Gvoke Hypo",2128.8,5345,3236457.98,3036845.16,199612.82
"FFSU","XX","72065013011",72065,130,"11",2023,3,FALSE,"Gvoke PFS ",1.6,11,4714.99,3738.86,976.13
"MCOU","XX","72065013011",72065,130,"11",2023,3,FALSE,"Gvoke PFS ",2.8,15,8391.41,8391.41,0
"MCOU","XX","72065013012",72065,130,"12",2023,3,FALSE,"Gvoke PFS ",2.2,11,6956.27,6956.27,0
"FFSU","XX","72065013111",72065,131,"11",2023,3,FALSE,"Gvoke PFS ",75.6,238,111778.78,108268.63,3510.15
"MCOU","XX","72065013111",72065,131,"11",2023,3,FALSE,"Gvoke PFS ",104.4,384,156917.16,152525.79,4391.37
"FFSU","XX","72065013112",72065,131,"12",2023,3,FALSE,"Gvoke PFS ",64.4,162,96216.89,92475.7,3741.19
"MCOU","XX","72065013112",72065,131,"12",2023,3,FALSE,"Gvoke PFS ",69.4,175,101692.99,95246.47,6446.52
"FFSU","XX","72065014011",72065,140,"11",2023,3,FALSE,"GVOKE KIT ",36.8,140,55904.4,41366.85,14537.55
"MCOU","XX","72065014011",72065,140,"11",2023,3,FALSE,"GVOKE KIT ",52.4,175,80316.87,75369.13,4947.74
"FFSU","XX","80644001201",80644,12,"1",2023,3,FALSE,"ZEGALOGUE ",97.2,111,49688.56,48618.07,1070.49
"MCOU","XX","80644001201",80644,12,"1",2023,3,FALSE,"ZEGALOGUE ",50.4,57,25086.18,23682.09,1404.09
"FFSU","XX","80644001202",80644,12,"2",2023,3,FALSE,"ZEGALOGUE ",99,87,50033,46914.72,3118.28
"MCOU","XX","80644001202",80644,12,"2",2023,3,FALSE,"ZEGALOGUE ",27.6,22,12875.74,11782.18,1093.56
"FFSU","XX","80644001302",80644,13,"2",2023,3,FALSE,"ZEGALOGUE ",16.2,16,8250.29,8250.29,0
"FFSU","XX","00002614511",2,6145,"11",2023,2,FALSE,"BAQSIMI   ",7892,4900,2168320.12,2023468.8,144851.32
"MCOU","XX","00002614511",2,6145,"11",2023,2,FALSE,"BAQSIMI   ",14243,9332,3841710.75,3676743.03,164967.72
"FFSU","XX","00002614527",2,6145,"27",2023,2,FALSE,"BAQSIMI   ",10254,4960,2807744.19,2605599.44,202144.75
"MCOU","XX","00002614527",2,6145,"27",2023,2,FALSE,"BAQSIMI   ",19015,9342,5106489.21,4741524.28,364964.93
"FFSU","XX","00002803101",2,8031,"1",2023,2,FALSE,"GLUCAGON  ",1085.4,867,277608.2,271915.5,5692.7
"MCOU","XX","00002803101",2,8031,"1",2023,2,FALSE,"GLUCAGON  ",1249,1041,325025.82,319533.98,5491.84
"FFSU","XX","00169706515",169,7065,"15",2023,2,FALSE,"GLUCAGEN  ",1570,1240,458059.8,450279.16,7780.64
"MCOU","XX","00169706515",169,7065,"15",2023,2,FALSE,"GLUCAGEN  ",2155.2,1652,634294.05,622114.03,12180.02
"FFSU","XX","00548585000",548,5850,"0",2023,2,FALSE,"GLUCAGON  ",6917.4,5006,1583222.08,1486685.59,96536.49
"MCOU","XX","00548585000",548,5850,"0",2023,2,FALSE,"GLUCAGON  ",11315.8,8615,2425164.58,2312926.09,112238.49
"MCOU","XX","00597005301",597,53,"1",2023,2,FALSE,"          ",32,28,10782.76,9908.02,874.74
"FFSU","XX","00597005345",597,53,"45",2023,2,FALSE,"GlucaGen 1",102.5,92,20487.82,18742.17,1745.65
"MCOU","XX","00597005345",597,53,"45",2023,2,FALSE,"GlucaGen 1",225.5,196,47082.93,24815.72,22267.21
"FFSU","XX","00597026010",597,260,"10",2023,2,FALSE,"GlucaGen D",247,235,46500.43,36453.04,10047.39
"MCOU","XX","00597026010",597,260,"10",2023,2,FALSE,"GlucaGen D",796.5,749,186611.01,151562.56,35048.45
"FFSU","XX","63323058282",63323,582,"82",2023,2,FALSE,"Glucagon E",370,286,103551.74,98966.59,4585.15
"MCOU","XX","63323058282",63323,582,"82",2023,2,FALSE,"Glucagon E",399,296,106988.96,105396.66,1592.3
"FFSU","XX","63323059303",63323,593,"3",2023,2,FALSE,"Glucagon f",64.5,58,11962.84,11042.78,920.06
"MCOU","XX","63323059303",63323,593,"3",2023,2,FALSE,"Glucagon f",207,176,47728.82,42363.56,5365.26
"FFSU","XX","63323059403",63323,594,"3",2023,2,FALSE,"Glucagon 1",42,36,5841.05,5395.56,445.49
"MCOU","XX","63323059403",63323,594,"3",2023,2,FALSE,"Glucagon 1",139,120,61244.24,31239.64,30004.6
"MCOU","XX","63323059606",63323,596,"6",2023,2,FALSE,"          ",22,21,4657.17,4537.94,119.23
"MCOU","XX","63323059611",63323,596,"11",2023,2,FALSE,"Glucagon f",43,31,6538,4093.74,2444.26
"MCOU","XX","63323059613",63323,596,"13",2023,2,FALSE,"Glucagon f",46,41,10705.18,8883.44,1821.74
"FFSU","XX","63323059616",63323,596,"16",2023,2,FALSE,"Glucagon f",12,11,1450.16,1450.16,0
"MCOU","XX","63323059616",63323,596,"16",2023,2,FALSE,"Glucagon f",31,29,3238.39,2877.02,361.37
"FFSU","XX","72065012012",72065,120,"12",2023,2,FALSE,"Gvoke Hypo",128.4,583,386427.51,351729.59,34697.92
"MCOU","XX","72065012012",72065,120,"12",2023,2,FALSE,"Gvoke Hypo",199.4,972,596293.39,563491.23,32802.16
"FFSU","XX","72065012111",72065,121,"11",2023,2,FALSE,"Gvoke Hypo",167,592,249351.31,235063.85,14287.46
"MCOU","XX","72065012111",72065,121,"11",2023,2,FALSE,"Gvoke Hypo",396.9,1451,611932.73,590248.75,21683.98
"FFSU","XX","72065012112",72065,121,"12",2023,2,FALSE,"Gvoke Hypo",903.8,2281,1336765.66,1262419.92,74345.74
"MCOU","XX","72065012112",72065,121,"12",2023,2,FALSE,"Gvoke Hypo",1761,4434,2721509.5,2566180.9,155328.6
"FFSU","XX","72065013011",72065,130,"11",2023,2,FALSE,"Gvoke PFS ",2.8,19,8126.94,8120.94,6
"MCOU","XX","72065013011",72065,130,"11",2023,2,FALSE,"Gvoke PFS ",6.2,44,19194.05,18651.33,542.72
"MCOU","XX","72065013012",72065,130,"12",2023,2,FALSE,"Gvoke PFS ",6.5,23,19409.2,18834.65,574.55
"FFSU","XX","72065013111",72065,131,"11",2023,2,FALSE,"Gvoke PFS ",60.2,202,88678.39,83766.69,4911.7
"MCOU","XX","72065013111",72065,131,"11",2023,2,FALSE,"Gvoke PFS ",89.8,342,138801.97,133205.46,5596.51
"FFSU","XX","72065013112",72065,131,"12",2023,2,FALSE,"Gvoke PFS ",43.8,106,65302.02,64146.87,1155.15
"MCOU","XX","72065013112",72065,131,"12",2023,2,FALSE,"Gvoke PFS ",75,187,113049.76,106470.86,6578.9
"FFSU","XX","72065014011",72065,140,"11",2023,2,FALSE,"GVOKE KIT ",25.4,87,38342.92,25488.12,12854.8
"MCOU","XX","72065014011",72065,140,"11",2023,2,FALSE,"GVOKE KIT ",40.6,148,60615.05,57836.68,2778.37
"FFSU","XX","80644001201",80644,12,"1",2023,2,FALSE,"ZEGALOGUE ",168,184,85707.45,84147.18,1560.27
"MCOU","XX","80644001201",80644,12,"1",2023,2,FALSE,"ZEGALOGUE ",91.8,106,46023.04,44989.71,1033.33
"FFSU","XX","80644001202",80644,12,"2",2023,2,FALSE,"ZEGALOGUE ",161.4,141,80688.95,80023.12,665.83
"MCOU","XX","80644001202",80644,12,"2",2023,2,FALSE,"ZEGALOGUE ",38.4,31,18786.43,18777.43,9
"FFSU","XX","80644001302",80644,13,"2",2023,2,FALSE,"ZEGALOGUE ",13.8,12,6966.81,6486.88,479.93
"FFSU","XX","00002614511",2,6145,"11",2023,1,FALSE,"BAQSIMI   ",6962,4216,1888862.19,1751683.03,137179.16
"MCOU","XX","00002614511",2,6145,"11",2023,1,FALSE,"BAQSIMI   ",14792,9718,4006874.95,3862688.07,144186.88
"FFSU","XX","00002614527",2,6145,"27",2023,1,FALSE,"BAQSIMI   ",9147,4410,2486326.25,2276001.24,210325.01
"MCOU","XX","00002614527",2,6145,"27",2023,1,FALSE,"BAQSIMI   ",20804,10232,5598705.78,5253252.69,345453.09
"FFSU","XX","00002803101",2,8031,"1",2023,1,FALSE,"GLUCAGON  ",2815.001,2071,743295.01,729029.15,14265.86
"MCOU","XX","00002803101",2,8031,"1",2023,1,FALSE,"GLUCAGON  ",2886,2235,771398.75,751407.06,19991.69
"FFSU","XX","00169706515",169,7065,"15",2023,1,FALSE,"GLUCAGEN  ",1232,982,344267.31,338990.31,5277
"MCOU","XX","00169706515",169,7065,"15",2023,1,FALSE,"GLUCAGEN  ",2206,1653,634591.26,619553.08,15038.18
"FFSU","XX","00548585000",548,5850,"0",2023,1,FALSE,"GLUCAGON  ",6000,4334,1408382.57,1311168.8,97213.77
"MCOU","XX","00548585000",548,5850,"0",2023,1,FALSE,"GLUCAGON  ",13949.9,10533,3074959.88,2961382.63,113577.25
"FFSU","XX","00597005301",597,53,"1",2023,1,FALSE,"          ",15,15,3262.9,2161.32,1101.58
"MCOU","XX","00597005301",597,53,"1",2023,1,FALSE,"          ",48,48,21161.3,20888.82,272.48
"FFSU","XX","00597005345",597,53,"45",2023,1,FALSE,"GlucaGen 1",126.7,122,32086.09,23363.9,8722.19
"MCOU","XX","00597005345",597,53,"45",2023,1,FALSE,"GlucaGen 1",349.5,314,60601.47,51692.65,8908.82
"FFSU","XX","00597026010",597,260,"10",2023,1,FALSE,"GlucaGen D",328,303,56165.03,47134.64,9030.39
"MCOU","XX","00597026010",597,260,"10",2023,1,FALSE,"GlucaGen D",912.5,844,174116.01,151305.67,22810.34
"FFSU","XX","63323058282",63323,582,"82",2023,1,FALSE,"Glucagon E",330,283,93791.76,90353.91,3437.85
"MCOU","XX","63323058282",63323,582,"82",2023,1,FALSE,"Glucagon E",413,319,115759.99,104560.44,11199.55
"FFSU","XX","63323059303",63323,593,"3",2023,1,FALSE,"Glucagon f",58,54,9501.76,9167.23,334.53
"MCOU","XX","63323059303",63323,593,"3",2023,1,FALSE,"Glucagon f",179,148,38658.49,36951.88,1706.61
"FFSU","XX","63323059403",63323,594,"3",2023,1,FALSE,"Glucagon 1",51.2,50,7454.18,6363.51,1090.67
"MCOU","XX","63323059403",63323,594,"3",2023,1,FALSE,"Glucagon 1",121,106,42456.86,41321.25,1135.61
"MCOU","XX","63323059603",63323,596,"3",2023,1,FALSE,"          ",19,19,2638.25,2638.25,0
"MCOU","XX","63323059606",63323,596,"6",2023,1,FALSE,"          ",34,33,5749.25,5613.01,136.24
"MCOU","XX","63323059611",63323,596,"11",2023,1,FALSE,"Glucagon f",14,13,2355.6,2355.6,0
"MCOU","XX","63323059613",63323,596,"13",2023,1,FALSE,"Glucagon f",50,46,12005.25,5854.79,6150.46
"MCOU","XX","63323059616",63323,596,"16",2023,1,FALSE,"Glucagon f",20,20,7765.38,1938.03,5827.35
"FFSU","XX","72065012012",72065,120,"12",2023,1,FALSE,"Gvoke Hypo",111.2,461,328849.73,304766.9,24082.83
"MCOU","XX","72065012012",72065,120,"12",2023,1,FALSE,"Gvoke Hypo",221.8,1032,658696.43,622825.65,35870.78
"FFSU","XX","72065012111",72065,121,"11",2023,1,FALSE,"Gvoke Hypo",132.8,473,198947.22,186194.25,12752.97
"MCOU","XX","72065012111",72065,121,"11",2023,1,FALSE,"Gvoke Hypo",355.2,1261,538671.16,517736.71,20934.45
"FFSU","XX","72065012112",72065,121,"12",2023,1,FALSE,"Gvoke Hypo",729.2,1811,1080149.48,985232.34,94917.14
"MCOU","XX","72065012112",72065,121,"12",2023,1,FALSE,"Gvoke Hypo",1691,4355,2598036.74,2449845.45,148191.29
"FFSU","XX","72065013011",72065,130,"11",2023,1,FALSE,"Gvoke PFS ",6.7,44,19918.37,18824.27,1094.1
"MCOU","XX","72065013011",72065,130,"11",2023,1,FALSE,"Gvoke PFS ",11.7,81,35600.89,35600.89,0
"FFSU","XX","72065013012",72065,130,"12",2023,1,FALSE,"Gvoke PFS ",4,19,17411.26,10610.09,6801.17
"MCOU","XX","72065013012",72065,130,"12",2023,1,FALSE,"Gvoke PFS ",10,44,28642.29,26683.32,1958.97
"FFSU","XX","72065013111",72065,131,"11",2023,1,FALSE,"Gvoke PFS ",46.6,132,69934.83,67347.66,2587.17
"MCOU","XX","72065013111",72065,131,"11",2023,1,FALSE,"Gvoke PFS ",108.2,394,162722.35,153153.21,9569.14
"FFSU","XX","72065013112",72065,131,"12",2023,1,FALSE,"Gvoke PFS ",24,50,42052.14,33357.43,8694.71
"MCOU","XX","72065013112",72065,131,"12",2023,1,FALSE,"Gvoke PFS ",87.4,191,132785.64,127364.55,5421.09
"FFSU","XX","72065014011",72065,140,"11",2023,1,FALSE,"GVOKE KIT ",22.6,77,33804.76,26540.58,7264.18
"MCOU","XX","72065014011",72065,140,"11",2023,1,FALSE,"GVOKE KIT ",36.8,133,56634.68,51516.25,5118.43
"FFSU","XX","80644001201",80644,12,"1",2023,1,FALSE,"ZEGALOGUE ",39.6,51,21085.64,20241.06,844.58
"MCOU","XX","80644001201",80644,12,"1",2023,1,FALSE,"ZEGALOGUE ",106.2,120,53813.83,52723.22,1090.61
"FFSU","XX","80644001202",80644,12,"2",2023,1,FALSE,"ZEGALOGUE ",16.8,17,9306.19,9306.19,0
"MCOU","XX","80644001202",80644,12,"2",2023,1,FALSE,"ZEGALOGUE ",33,29,16946.65,15855.25,1091.4
